Label, Filename, Source Document, Alt Text
"PREAMP_ORIG_1","PREAMP_ORIG_1.png","PreAmp","This shows the preamp used by MechPanda"
"PREAMP_ORIG_2","PREAMP_ORIG_2.png","PreAmp","This shows the preamp used by Dan"
"2. Preamp.image1","2. Preamp.image1.png","2. Preamp","Purple preamplifier board with dark blue resistor"
"2. Preamp.image2","2. Preamp.image2.jpg","2. Preamp","Jittery sine wave plot on laptop"
"2. Preamp.image3","2. Preamp.image3.png","2. Preamp","STM tip circuit diagram, 100M Ohm resistor defines the gain ratio"
"2. Preamp.image4","2. Preamp.image4.jpg","2. Preamp","Jittery sine wave plot on laptop higher frequency"
"2. Preamp.image5","2. Preamp.image5.jpg","2. Preamp","Green circuit board with antenna barrel jack"
"2. Preamp.image6","2. Preamp.image6.jpg","2. Preamp","Noise plot on laptop"
"2. Preamp.image7","2. Preamp.image7.jpg","2. Preamp","Double A batteries and multimeter"
"2. Preamp.image8","2. Preamp.image8.jpg","2. Preamp","Noise plot on laptop with calculator"
"2. Preamp.image9","2. Preamp.image9.png","2. Preamp","Purple preamplifier with light blue resistor close up"
"2. Preamp.image10","2. Preamp.image10.png","2. Preamp","Purple preamplifier with dark blue resistor close up"
"5_1_2025  - Teensy Daughter Board.image1","5_1_2025  - Teensy Daughter Board.image1.png","5_1_2025  - Teensy Daughter Board","chip pinout with 26 pins"
"Build Continued.image1","Build Continued.image1.png","Build Continued","Piezo specifications 1"
"Build Continued.image2","Build Continued.image2.png","Build Continued","Piezo specifications 2"
"Copy of Software notes.image1","Copy of Software notes.image1.png","Copy of Software notes","System block diagram: equations, procedures, tech"
"Copy of Software notes.image2","Copy of Software notes.image2.png","Copy of Software notes","STM SERIAL COMMAND CHEAT SHEET in color"
"Copy of Software notes.image3","Copy of Software notes.image3.png","Copy of Software notes","STM Command Cheat Sheet"
"Copy of Software notes.image4","Copy of Software notes.image4.jpg","Copy of Software notes","Code feature summary table"
"Copy of Software notes.image5","Copy of Software notes.image5.jpg","Copy of Software notes","Feature summary comparison"
"Lab Day - 5_29_25.image1","Lab Day - 5_29_25.image1.png","Lab Day - 5_29_25","Motor Driver pins IN1-4"
"Lab Day - 5_29_25.image2","Lab Day - 5_29_25.image2.png","Lab Day - 5_29_25","ULN2003 stepper motor driver circuit"
"Lab Day - 5_29_25.image3","Lab Day - 5_29_25.image3.png","Lab Day - 5_29_25","PCB design web gui"
"Lab Day - 5_29_25.image4","Lab Day - 5_29_25.image4.png","Lab Day - 5_29_25","preamp power and motor closeup"
"Lab Day - 5_29_25.image5","Lab Day - 5_29_25.image5.png","Lab Day - 5_29_25","youtube STM video screenshot"
"Mechanical Optimizations.image1","Mechanical Optimizations.image1.png","Mechanical Optimizations","4096/rev 0.088 degrees diagram"
"Mechanical Optimizations.image2","Mechanical Optimizations.image2.jpg","Mechanical Optimizations","metal wedge datasheet"
"Mechanical Optimizations.image3","Mechanical Optimizations.image3.png","Mechanical Optimizations","Tim's tripod diagram"
"Mechanical Optimizations.image4","Mechanical Optimizations.image4.png","Mechanical Optimizations","similar triangle diagram"
"Mechanical Optimizations.image5","Mechanical Optimizations.image5.png","Mechanical Optimizations","Shim 1 diagram"
"Mechanical Optimizations.image6","Mechanical Optimizations.image6.png","Mechanical Optimizations","piezo rod diagram"
"Motor Controller.image1","Motor Controller.image1.png","Motor Controller","red circuit board diagram"
"Motor Controller.image2","Motor Controller.image2.png","Motor Controller","DGND and ALERT pin descriptions"
"Motor Controller.image3","Motor Controller.image3.png","Motor Controller","AD5761/AD5721 16 pin pinout"
"Motor Controller.image4","Motor Controller.image4.png","Motor Controller","big red circuit board diagram"
"Piezo - Concepts.image1","Piezo - Concepts.image1.png","Piezo - Concepts","four opamps circuit diagram"
"Piezo - Concepts.image2","Piezo - Concepts.image2.png","Piezo - Concepts","brass piezo closeup"
"Power Supply - Kickoff Discussion.image1","Power Supply - Kickoff Discussion.image1.png","Power Supply - Kickoff Discussion","four circuit diagrams"
"Pre-Amp - Continued.image1","Pre-Amp - Continued.image1.png","Pre-Amp - Continued","two capacitors close up circuit diagram"
"Pre-Amp - Continued.image2","Pre-Amp - Continued.image2.png","Pre-Amp - Continued","opamp and 5 pin pinout circuit diagram"
"Pre-Amp - Continued.image3","Pre-Amp - Continued.image3.png","Pre-Amp - Continued","CA45-B020K686T gui"
"Pre-Amp - Continued.image4","Pre-Amp - Continued.image4.png","Pre-Amp - Continued","purple circuit board layout and pinout"
"Pre-Amp - Continued.image5","Pre-Amp - Continued.image5.png","Pre-Amp - Continued","purple preamp 5 pin pinout closeup picture"
"Pre-Amp - Continued.image6","Pre-Amp - Continued.image6.png","Pre-Amp - Continued","two sets of two capacitors circuit diagram"
"Pre-Amp - Continued.image7","Pre-Amp - Continued.image7.png","Pre-Amp - Continued","5 pin pinout circuit diagram"
"PreAmp.image1","PreAmp.image1.png","PreAmp","close up tungsten tip picture"
"PreAmp.image2","PreAmp.image2.png","PreAmp","close up coaxial barrel jack"
"PreAmp.image3","PreAmp.image3.png","PreAmp","Purple preamplifier board with light blue resistor"
"PreAmp.image4","PreAmp.image4.png","PreAmp","Purple preamplifier board with dark blue resistor""
"PreAmp.image5","PreAmp.image5.jpg","PreAmp","aluminum measurement stand with 3 knobs"
"PreAmp.image6","PreAmp.image6.jpg","PreAmp","brass measurement head closeup"
"Primary Board PCB Components.image1","Primary Board PCB Components.image1.png","Primary Board PCB Components","opamp circuit diagram"
"Primary Board PCB Components.image2","Primary Board PCB Components.image2.png","Primary Board PCB Components","R28, R29"
"Primary Board PCB Components.image3","Primary Board PCB Components.image3.png","Primary Board PCB Components","16 pin chip circuit diagram"
"Primary Board PCB Components.image4","Primary Board PCB Components.image4.png","Primary Board PCB Components","16 pin chip with 2 opamps circuit diagram"
"Resolving the Preamp Noise.image1","Resolving the Preamp Noise.image1.png","Resolving the Preamp Noise","green circuit board closeup picture"
"STM General Notes.image1","STM General Notes.image1.png","STM General Notes","Square base plate hole is optional"
"STM General Notes.image2","STM General Notes.image2.png","STM General Notes","Hybrid Module springed plate"
"Sample Prep Continued.image1","Sample Prep Continued.image1.png","Sample Prep Continued","gold foil on material stack diagram"
"Sample Prep Continued.image2","Sample Prep Continued.image2.png","Sample Prep Continued","3 ball bearings on aluminum measurement stand picture"
"Sample Prep Continued.image3","Sample Prep Continued.image3.png","Sample Prep Continued","3 ball bearings on aluminum measurement stand and copper foil picture"
"Sample Prep Continued.image4","Sample Prep Continued.image4.png","Sample Prep Continued","sample charged to bias voltage and bias wire picture"
"Samples Planning.image1","Samples Planning.image1.jpg","Samples Planning","gold foil picture"
"Samples Planning.image2","Samples Planning.image2.png","Samples Planning","youtube video screenshot silver square"
"Samples Planning.image3","Samples Planning.image3.png","Samples Planning","four magnets under copper foil"
"Software Usage Documentation.image1","Software Usage Documentation.image1.png","Software Usage Documentation","triangle wave computer plot"
"Software Usage Documentation.image2","Software Usage Documentation.image2.png","Software Usage Documentation","color and black and white opamp circuit diagram"
"Software Usage Documentation.image3","Software Usage Documentation.image3.png","Software Usage Documentation","Panda STM gui current spike"
"Software Usage Documentation.image4","Software Usage Documentation.image4.png","Software Usage Documentation","Panda STM gui Approach 500"
"Software Usage Documentation.image5","Software Usage Documentation.image5.png","Software Usage Documentation","Panda STM gui Bias 33314"
"Unit Assembly Readings - Solving Ground in Assembly.image1","Unit Assembly Readings - Solving Ground in Assembly.image1.jpg","Unit Assembly Readings - Solving Ground in Assembly","copper foil'ed sandwich"
"Unit Assembly Readings - Solving Ground in Assembly.image2","Unit Assembly Readings - Solving Ground in Assembly.image2.png","Unit Assembly Readings - Solving Ground in Assembly","Panda STM gui random signal"
"Unit Assembly Readings - Solving Ground in Assembly.image3","Unit Assembly Readings - Solving Ground in Assembly.image3.png","Unit Assembly Readings - Solving Ground in Assembly","Panda STM gui random signal 2"
"Unit Assembly Readings - Solving Ground in Assembly.image4","Unit Assembly Readings - Solving Ground in Assembly.image4.png","Unit Assembly Readings - Solving Ground in Assembly","Panda STM gui spikes signal"
"Unit Assembly Readings - Solving Ground in Assembly.image5","Unit Assembly Readings - Solving Ground in Assembly.image5.jpg","Unit Assembly Readings - Solving Ground in Assembly","workspace picture"
"Untitled document.image1","Untitled document.image1.jpg","Untitled document","thin wire ends"
"Untitled document.image2","Untitled document.image2.png","Untitled document","3d printed knobs"
"Untitled document.image3","Untitled document.image3.jpg","Untitled document","frayed spiral copper wire bundle"
